gene,rank_score
SPSB3,0.0953999346689024
ITGAE,0.0953804156142286
CDC37,0.0953549764613307
LRRC48,0.0953428890316262
SDCBP2,0.0953378857008588
KRT20,0.0952763827617118
4930453L07RIK,0.0952238961510618
BC048403,0.0952061415281421
AGL,0.0951901255510726
TTC32,0.0951087805533361
TMEM38A,0.0950494453925323
PANX1,0.0949797270924644
HGF,0.0949063432248358
ZFP658,0.0948736598110906
EME1,0.0948417252974632
6230400D17RIK,0.0948190692775918
PMCH,0.094768029517232
SLC25A29,0.0947543184847312
4833408D11RIK,0.0946969275040239
RCCD1,0.0946222889496853
DEPDC7,0.0946141540865366
FAM35A,0.094527804959785
RDM1,0.0944420855059421
CHML,0.0943522362777694
E330022O07,0.0943351504803319
PRL6A1,0.0942864784326931
MMP2,0.0942518257509989
9530026P05RIK,0.0942276946656433
ST8SIA2,0.0941968788177783
CNR1,0.094133012462786
ZFP458,0.0940361829009998
MKI67,0.0940339471873371
SLC27A4,0.0940000676007413
4930444P10RIK,0.0939030133419544
CECR5,0.0938102476869342
DDB1,0.0937866255843659
AI646383,0.0937657836956664
MFSD2A,0.093677349852918
DEFB7,0.0936641028208892
TMEM63C,0.0936157444866049
NTN1,0.0936020861674819
INCA1,0.093584704342019
MBD6,0.0934054911157204
HELZ2,0.0933939598550105
C130068B02RIK,0.0933795031942125
9430024C03RIK,0.0933066402374953
HBB-B2,0.0932654158394334
RCC2,0.0931390118176669
LAG3,0.0929716743135785
MRPL34,0.0929605381325254
MOV10L1,0.0929596910062668
RNF31,0.0929251984038262
SLC25A19,0.0929143980931521
FAP,0.0928683953160778
PIN1,0.0927322848415134
LOC102641080,0.0927017453676416
AI607873,0.0926988333409366
LOC102638425,0.0926615721596473
PIBF1,0.0925331547016891
RAB4B,0.0924942684907423
KRT80,0.0924111077973634
PRR18,0.0923379493080827
CYS1,0.0923336934953769
TMEM198,0.0922837351838902
KCNV1,0.0921939844303266
ABHD14B,0.0921643696270062
A630026N12RIK,0.0920474226414419
GM10034,0.092001943961977
FZD2,0.0919707800114356
CFP,0.0919483302188265
A230006K03RIK,0.0919408219217887
JADE3,0.0918986277733767
APOM,0.0918847456843213
CTSO,0.0918324625667583
ARL2,0.0918082267901432
C230007H23RIK,0.0917899355489506
2310030G06RIK,0.0915886619584534
ABCA2,0.0915144357239231
FZD4,0.0915025914436706
PRR32,0.0914527474332035
NXF2,0.0914473860296493
4930442P19RIK,0.0914148797866226
VIPR2,0.0913454451649901
BC003965,0.0913418948904699
2310039F13RIK,0.0912789045941206
SORCS3,0.091186097970783
BAG3,0.0911812596589544
DDX60,0.0911283177655564
DMRTB1,0.0911071309568687
TFG,0.0910117655626864
9930104L06RIK,0.0909981563380201
ZFP217,0.0909895154007007
GM10374,0.0909886125100699
A230038B01RIK,0.0909768772854
PLEKHG4,0.0908516979107856
STBD1,0.0907995359062712
CYP2D10,0.090787211037881
6720475J19RIK,0.0907777710583995
SLC22A1,0.0907264795975854
ITGB3,0.0906174016105782
FGF14,0.0905385267396088
GIMAP4,0.090438605262208
ZBTB40,0.0904037988892836
FUT4,0.0902875513866592
HSPBP1,0.0902662971841733
ZFP619,0.090207288481386
SDC4,0.0901642545100532
ADAMTS16,0.0901590390452011
AI661453,0.0900153838966819
LOC102640387,0.0899227481166165
ZFP120,0.0897787016261989
DNASE1,0.0897685992628141
