gene,reactivity,shared_loose,inferred_celltype,pq_log2FC,mptp10d_logFC,mptp10d_fdr,same_direction_10d,mptp2d_logFC,mptp2d_fdr,same_direction_2d
SPEF2,0.159606133935219,FALSE,Unknown,-2.74146698640115,0.22026583,0.778262092361026,FALSE,0.303840286666667,0.618324828463038,FALSE
MILR1,0.159529751124873,FALSE,Unknown,-0.807354922057604,-0.877621088,0.465767613554114,TRUE,-1.04490347333333,0.163774578266174,TRUE
H2-EB1,0.15943676931044,FALSE,Unknown,2.75488750216347,0.318895964333333,0.854986751374684,TRUE,-0.688442395,0.584090792116117,FALSE
PPP1R14A,0.159338075462672,FALSE,Unknown,0.746982304078122,-0.92438557,0.474733063509917,FALSE,-0.99014426,0.307418073821803,FALSE
IGSF1,0.159269345204575,FALSE,Unknown,-2.90689059560852,0.040559609,0.985497139319709,FALSE,0.0712567176666667,0.961514906767704,FALSE
CLSTN3,0.159140046465725,FALSE,Unknown,0.0272214687350242,-1.19973229666667,0.465767613554114,FALSE,-0.787555701,0.505676685089559,FALSE
TRPC5,0.159099574992827,FALSE,Unknown,-2.41503749927884,0.415558019,0.686679837630755,FALSE,0.199089525333333,0.815866253926576,FALSE
TRPC7,0.158389471260622,FALSE,Unknown,-0.84799690655495,0.808480266666667,0.446996175596864,FALSE,0.565022471666667,0.424786276422111,FALSE
CTGF,0.15832287345315,FALSE,Unknown,1,-1.29131014333333,0.627283973749355,FALSE,-0.937940433333333,0.631268907911948,FALSE
GM12359,0.158275385413418,FALSE,Unknown,-0.584962500721156,1.16393702333333,0.532228396684808,FALSE,1.50452000666667,0.209937133243738,FALSE
1700007K13RIK,0.158214307718402,FALSE,Unknown,-1.95419631038688,0.783178479333333,0.683711731216986,FALSE,0.949516837,0.552638984544351,FALSE
SPAG17,0.158151802417768,FALSE,Unknown,-2.85798099512757,0.0974317371666667,0.905550840132238,FALSE,-0.0771689223333334,0.894934628134742,TRUE
RSPH1,0.158013622818646,FALSE,Unknown,-2.42354183151401,0.562306561,0.769707398985239,FALSE,0.703627423,0.631191877071245,FALSE
SLFN8,0.158002056763503,FALSE,Unknown,-1.58496250072116,-0.867576378333333,0.62045024998387,TRUE,-0.726614015,0.570653605481918,TRUE
TICAM1,0.157770574573133,FALSE,Unknown,2,-0.587911595333333,0.62045024998387,FALSE,-0.14707406,0.88267007041084,FALSE
EYA2,0.157742006305905,FALSE,Unknown,1,-1.21733579,0.611450887269081,FALSE,-1.07715401333333,0.530074028562997,FALSE
GM9817,0.157508428696823,FALSE,Unknown,2,-0.547786395666667,0.600801888043604,FALSE,-0.332081874,0.629669389406431,FALSE
