probe	gene	mean_expression
ILMN_2302716	ALDH18A1	10.036722660621601
ILMN_1709348	ALDH1A1	4.614542606876011
ILMN_1748538	ALDH1A2	6.009888570198014
ILMN_1807439	ALDH1A3	4.136342497675484
ILMN_2150894	ALDH1B1	7.526380528680078
ILMN_1802167	ALDH1L1	0.597663190938661
ILMN_2182980	ALDH1L2	3.596189979602513
ILMN_1793859	ALDH2	9.931513235194922
ILMN_1702503	ALDH3A1	1.9103706533648683
ILMN_1794825	ALDH3A2	8.587926349364649
ILMN_1727965	ALDH3B1	0.9403801042878411
ILMN_1761514	ALDH3B2	0.7075986219834989
ILMN_1656368	ALDH4A1	8.258033324659916
ILMN_2372398	ALDH5A1	9.523032785817213
ILMN_1785284	ALDH6A1	9.041548063934233
ILMN_1687508	ALDH7A1	10.604371238580507
ILMN_2365176	ALDH8A1	5.184178824526809
ILMN_1761804	ALDH9A1	11.459418674959535
ILMN_1736700	ALDOA	13.172275270532905
ILMN_1747716	ALDOB	3.6299738262132357
ILMN_1755974	ALDOC	12.949224427596794
ILMN_1718093	ALG1	4.983002716479864
ILMN_3243268	ALG10	4.514092251099748
ILMN_3251482	ALG10B	7.489462612837484
ILMN_1660856	ALG11	4.191037919323929
ILMN_1743995	ALG12	5.30761643525696
ILMN_1761456	ALG13	7.602073152475984
ILMN_1743635	ALG14	7.0602282479806915
ILMN_2131293	ALG1L	7.259950598707129
ILMN_1737945	ALG2	5.295878895854321
ILMN_1711886	ALG3	9.950486606841665
ILMN_1664449	ALG5	8.91746073354424
ILMN_1771411	ALG6	7.733147951761463
ILMN_1685413	ALG8	9.455148586757394
ILMN_1732809	ALG9	10.658459337628935
ILMN_1753135	ALK	5.83117034196892
ILMN_2375973	ALKBH1	8.451475466610775
ILMN_1690252	ALKBH2	9.290448753426805
ILMN_2134062	ALKBH3	8.322267839909339
ILMN_1805673	ALKBH4	5.75763371460975
ILMN_1657283	ALKBH5	13.744588320161505
ILMN_1808792	ALKBH6	8.669996410619774
ILMN_1761764	ALKBH7	11.221220789583663
ILMN_1779190	ALKBH8	1.7525893585790258
ILMN_1681046	ALLC	2.7531623470192046
ILMN_1709474	ALMS1	5.525884544502332
ILMN_3237132	ALMS1P1	3.5214591384544467
ILMN_1713731	ALOX12	1.1188487211728688
ILMN_1692332	ALOX12B	0.8971021872124195
ILMN_2137544	ALOX12P2	0.35897970837941534
ILMN_2403534	ALOX15	1.9441938643054895
