assay	sheet	condition	n_entries	vector_sha256	matching_sheet_count
JC1	WAY-600	GC	108	3a6abede32eb286c0ba350326b104d7ccb32d92a30fae98fbff842c261cde204	3
JC1	WAY-600	GC+Val	53	4373d60fb996908326a67bb67eeaec4351919311caa15b1890ff95ed35ef799c	3
JC1	STF-62247	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	STF-62247	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	STF-62247	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Trifluoperazine	SNCA Trpl.	117	2361a4b7fbf2a706bb5c1b3cbc23defb85e53a123fe629e1deae3896fc308111	3
JC1	Trifluoperazine	GC	108	3a6abede32eb286c0ba350326b104d7ccb32d92a30fae98fbff842c261cde204	3
JC1	Trifluoperazine	GC+Val	53	4373d60fb996908326a67bb67eeaec4351919311caa15b1890ff95ed35ef799c	3
JC1	Duloxetine	SNCA Trpl.	114	16b627e75888df6fbb00dd37c45efdb8809279b5b5274f875000eb441a27a285	1
JC1	Duloxetine	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Duloxetine	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Simvastatin	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	Simvastatin	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Simvastatin	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	UNC2025	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	UNC2025	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	UNC2025	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Vorinostat	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	Vorinostat	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Vorinostat	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	RG2833	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	RG2833	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	RG2833	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Tinostamustine	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	Tinostamustine	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Tinostamustine	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Bimiralisib	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	Bimiralisib	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Bimiralisib	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Lonafarnib	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	Lonafarnib	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Lonafarnib	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
