assay	sheet	condition	kind	dose_M	include_flagged	n_values	median	mutant_control_median	corrected_control_median	ratio_to_mutant	control_gap_fraction
JC1	Entinostat	5μM	treatment	5e-06	True	10	0.8749065	0.9924495	1.170659	0.881562739464	-0.659577631944
JC1	Entinostat	GC	control	NA	True	105	1.170659	0.9924495	1.170659	1.17956530786	1
JC1	Entinostat	GC+Val	control	NA	True	50	0.146815	0.9924495	1.170659	0.147931960266	-4.745170712
JC1	Entinostat	SNCA Trpl.	control	NA	True	114	0.9924495	0.9924495	1.170659	1	0
JC1	FCCP	0.5μΜ	treatment	5e-07	True	10	0.551102	0.9924495	1.170659	0.555294753033	-2.47656550296
JC1	FCCP	100nM	treatment	1e-07	True	4	0.775262	0.9924495	1.170659	0.78116014971	-1.2187201019
JC1	FCCP	10nM	treatment	1e-08	True	4	0.9774695	0.9924495	1.170659	0.984906033002	-0.0840583695033
JC1	FCCP	10μM	treatment	1e-05	True	10	0.2589995	0.9924495	1.170659	0.260969953635	-4.11566162298
JC1	FCCP	1μM	treatment	1e-06	True	24	0.385417	0.9924495	1.170659	0.388349230868	-3.40628586018
JC1	FCCP	2.5μΜ	treatment	2.5e-06	True	10	0.401381	0.9924495	1.170659	0.404434684082	-3.31670589952
JC1	FCCP	5μM	treatment	5e-06	True	10	0.271811	0.9924495	1.170659	0.273878922807	-4.04377151611
JC1	FCCP	GC	control	NA	True	105	1.170659	0.9924495	1.170659	1.17956530786	1
JC1	FCCP	GC+Val	control	NA	True	50	0.146815	0.9924495	1.170659	0.147931960266	-4.745170712
JC1	FCCP	SNCA Trpl.	control	NA	True	114	0.9924495	0.9924495	1.170659	1	0
JC1	Lonafarnib	0.5μΜ	treatment	5e-07	True	10	1.009919	0.9924495	1.170659	1.01760240697	0.0980278829131
JC1	Lonafarnib	100nM	treatment	1e-07	True	4	1.010566	0.9924495	1.170659	1.01825432931	0.101658441329
JC1	Lonafarnib	10nM	treatment	1e-08	True	4	1.0431595	0.9924495	1.170659	1.05109579883	0.284552731476
JC1	Lonafarnib	10μM	treatment	1e-05	True	10	0.198309489	0.9924495	1.170659	0.199818216443	-4.45621592003
JC1	Lonafarnib	1μM	treatment	1e-06	True	20	0.8061245	0.9924495	1.170659	0.812257449875	-1.04553909865
JC1	Lonafarnib	2.5μΜ	treatment	2.5e-06	True	10	0.9550645	0.9924495	1.170659	0.962330577022	-0.209781184505
