probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_expression	contrast
ILMN_1798210	-0.81402768097159	5.05569390806702	-1.28114563924855	0.232276457405837	0.927278322123013	-5.23110433068418	E2F7	5.05569390806702	exposure_corrected
ILMN_1811006	1.45485421036964	0.681279354382959	1.68735392840395	0.125927716572635	0.918143498815468	-4.73311219516956	E2F8	0.681279354382959	exposure_corrected
ILMN_1720287	0.0420548521541768	10.4505676307352	0.172608420190962	0.866791766322621	1	-6.00027159592431	E4F1	10.4505676307352	exposure_corrected
ILMN_1685012	-0.376364975595431	8.50123375565224	-1.89864329909144	0.0901986660568259	0.918143498815468	-4.44738829909192	EAF1	8.50123375565224	exposure_corrected
ILMN_1708798	-0.0796288025618172	6.32422215098634	-0.177856650423964	0.862787968512315	1	-5.9993125041501	EAF2	6.32422215098634	exposure_corrected
ILMN_3243744	-0.460541349629145	9.67091700560027	-2.16009810628405	0.059162859014382	0.918143498815468	-4.07704280229224	EAPP	9.67091700560027	exposure_corrected
ILMN_1758750	-0.33926752372383	8.51380027847428	-1.19542019169868	0.262574392438031	0.927278322123013	-5.32503573170519	EARS2	8.51380027847428	exposure_corrected
ILMN_1791896	-0.140436025171767	9.43578776186354	-0.427492510151022	0.679101591674873	0.992958079329381	-5.92121540491865	EBAG9	9.43578776186354	exposure_corrected
ILMN_1778681	-0.255294679720176	9.80686920336777	-0.739288795917931	0.478634052395799	0.952067118937271	-5.73867656704366	EBF1	9.80686920336777	exposure_corrected
ILMN_1844919	-0.626771203925341	6.73925779726828	-1.90075243133209	0.0898953262953384	0.918143498815468	-4.44446655318194	EBF2	6.73925779726828	exposure_corrected
ILMN_1707232	-0.249035726540397	9.68704931324677	-0.933441011155221	0.375040271758623	0.939793642501308	-5.58187639410098	EBF3	9.68704931324677	exposure_corrected
ILMN_3177727	-0.100921543607691	5.7365587979496	-0.237726328383622	0.817435444369193	1	-5.98635905288144	EBF4	5.7365587979496	exposure_corrected
ILMN_1802653	0.0568438594245421	0.86171069209654	0.067841422270735	0.947400298558408	1	-6.01342816834868	EBI3	0.86171069209654	exposure_corrected
ILMN_1672324	-0.332371459844236	0.484380863862988	-0.356730776541954	0.729542501447865	1	-5.94973438712637	EBLN1	0.484380863862988	exposure_corrected
