gene	logFC_20141	P.Value_20141	adj.P.Val_20141	logFC_7621	P.Value_7621	adj.P.Val_7621	z_20141	z_7621	meta_z	meta_p	meta_FDR
G3BP2	-1.0943716853375	0.223037867955298	0.587194581754908	-0.218135175213035	0.241484390970904	0.672426135046681	-1.21848988056469	-1.17128462108832	-1.68982575562554	0.091061294868808	0.381725083051136
G6PC	0.579422483290633	0.421805966764306	0.734108445108596	-0.489363701637417	0.398825487249046	0.784577866734103	0.80329202427081	-0.843720718358244	-0.0285874037437411	0.97719365833619	0.992029256468607
G6PC2	0.817974733669217	0.349534412533206	0.685761648566761	0.00828112944065992	0.981272719098976	0.995999137182489	0.935492760431313	0.0234733213494667	0.678091419355083	0.497713730911797	0.758441763614108
G6PC3	-0.0456190102327652	0.949698994330249	0.982556147067675	-0.363642836760485	0.0141742758506381	0.273439926335687	-0.0630847795321024	-2.45281616002103	-1.77901061515163	0.0752380216553894	0.357895328239341
G6PD	0.00719525478033337	0.99284863572219	0.997394645959014	-0.513429532717358	0.123306656873142	0.53860623219007	0.00896302595772097	-1.54104161986527	-1.08334316306278	0.27865613342915	0.590741326848164
GAA	0.196167229643904	0.771911371067472	0.916386420279173	0.263216324231647	0.081907466833724	0.47699449234883	0.289875649507961	1.73972414909883	1.43514378068971	0.151246129972229	0.462286124355098
GAB1	0.279460256063223	0.639218616308472	0.85800782130752	0.305140960400962	0.0914500627759602	0.490804474291211	0.468791583808756	1.6877977338225	1.52493893073153	0.127274330465427	0.433344422204502
GAB2	-0.309283095528856	0.648102898834868	0.862744768728379	-0.0662012078315442	0.612706690235265	0.888181258199678	-0.456399258538686	-0.506213626294697	-0.68067009852323	0.496080260713401	0.757228794905746
GAB3	1.02293119910867	0.273275787860872	0.629171241177968	0.87252943928001	0.0136199220396063	0.26949562201299	1.09554992041983	2.46713441452367	2.51919825246563	0.0117622408736054	0.20469251983891
GAB4	0.712023303410175	0.414996510682398	0.729753840559624	-0.574422355470837	0.124282887203804	0.539367169458488	0.815132429205167	-1.53704256122698	-0.510467549759898	0.609723943089546	0.825297259255913
GABARAP	-0.81046897872539	0.237875075066695	0.601119082155083	-0.139541612002187	0.182857669431006	0.616122503805444	-1.18031469656725	-1.3320076660714	-1.7764801791484	0.0756538060215758	0.358717612301038
GABARAPL1	-0.645697805923111	0.278892112769514	0.634393572678705	-0.427313032526789	0.0749133995251099	0.461984631259675	-1.08281147134236	-1.78099419224308	-2.0250164047217	0.0428656797620699	0.29694692749234
GABARAPL2	-0.680227607432897	0.360018543692023	0.692969323884235	-0.0478273248235854	0.700733850442365	0.919544980091164	-0.915329753637581	-0.384330033750628	-0.918998248897669	0.358096488121859	0.660216647188601
GABARAPL3	0.878177844089621	0.282846178874732	0.636334143352384	0.286768033580936	0.47101124603416	0.819855373644389	1.07394757478099	0.720834662767689	1.26910269092383	0.20440444067997	0.520484235139054
GABBR1	-0.0174361082082518	0.982176341479029	0.993472847008027	-0.110378051324795	0.674222305145302	0.910042877402241	-0.0223405014138422	-0.420360245495521	-0.31303670017596	0.754252779630295	0.896720832677317
GABBR2	-0.153566957173226	0.82506353207277	0.93451015219854	-0.522952683628731	0.338135249759127	0.747990708859782	-0.221037117511996	-0.957856250863083	-0.833603495073869	0.404504455468646	0.6924982437875
GABPA	0.145530665000212	0.84029194702806	0.941319463184536	0.293738003040795	0.0651009654281325	0.437738861105771	0.2015200581142	1.84456415419209	1.44680002140051	0.147952940791569	0.459232049824393
GABPB1	-1.34152121628997	0.0618242101760064	0.411658462742418	0.305724080585278	0.025310418060188	0.323059641230954	-1.86755438072683	2.23663174951139	0.260977110250054	0.794110159101211	0.91545597813238
GABPB1-AS1	-0.165340024923212	0.823809640815395	0.934297955639827	0.109573666831955	0.708532665819043	0.922940861519474	-0.222647787467908	0.373827490004073	0.106900192841087	0.914868160203657	0.969929254482601
GABPB2	1.22728631520183	0.110549221206409	0.472994637129727	0.353214052873304	0.0660101086195811	0.440264983596154	1.59572940214521	1.8383550194953	2.42826438170909	0.0151712793523913	0.217873737125032
GABRA1	-0.305513902792212	0.725581986264466	0.896798053321804	0.00919964695493808	0.991461650647627	0.997891350564439	-0.351008480396835	0.0107014382053335	-0.240633417219147	0.809839247882899	0.923525827976133
GABRA2	0.0481901285968904	0.946371137866649	0.981062963543668	0.154274074814042	0.584496781123244	0.875545275534033	0.0672644998570979	0.546828179786105	0.434229098052727	0.664122084895569	0.852802097047862
GABRA3	0.0516370773360644	0.949574855059051	0.982487183308243	0.527135863501995	0.345326492211517	0.753163055273278	0.0632406757021277	0.943693117240064	0.712009713195315	0.476458761248846	0.74343010196061
GABRA4	-0.0905195821780479	0.896947861769669	0.964629239663873	-1.02984317965833	0.0271209922303095	0.330408994974526	-0.129517900406879	-2.20977196655711	-1.65412772809121	0.0981015632995663	0.391371258830381
GABRA5	0.810425263764294	0.262519447218001	0.62178327708691	-0.462455695568901	0.448250405386669	0.810021909861926	1.1204561066518	-0.758335090387104	0.256058226210928	0.797905877512638	0.916581395712019
GABRA6	0.398901553515605	0.552689829786599	0.812533029961799	1.18164592321125	0.139422394692902	0.561017209169107	0.593734312237197	1.47794539417233	1.46489876884874	0.142948538767507	0.453709900353223
GABRB1	-0.446790889740554	0.485479278608431	0.774381618124706	-0.663227300864245	0.00896481515367167	0.232749433128285	-0.697517041003502	-2.61339299432289	-2.34116693787788	0.0192235694139736	0.234792242044455
GABRB2	0.232445034942282	0.738165741689764	0.902073341058153	0.0749693750871014	0.903788181578713	0.977744317958223	0.33428336536193	0.120877351396271	0.321847229349453	0.747568432515118	0.894655758910306
GABRB3	-0.948834768768424	0.265850719737842	0.623803291803496	-0.361165678842956	0.240667402154534	0.671925515937022	-1.11266875426409	-1.17332025631124	-1.61643833109574	0.105999576538031	0.402262020673433
GABRD	0.837434775410173	0.372247034158532	0.700296437212255	-0.628077358645753	0.420511261565029	0.795212530281562	0.892272231864204	-0.805534577003049	0.0613327839365413	0.951094182133578	0.982960834492528
GABRG1	0.989582180114629	0.171279344096526	0.541971575725539	-0.0692080334248995	0.814375745043688	0.954249175982819	1.36810457749908	-0.234784826821897	0.80137808095648	0.422912800557613	0.706247056965882
GABRG2	-1.25686351129687	0.145655231545807	0.520046914015714	-0.380303569461459	0.544269685230759	0.85693913342308	-1.45505068019666	-0.606369096034892	-1.45764390264538	0.144938721824562	0.455037368386903
GABRG3	0.0759360251564251	0.909602965687568	0.968128203739263	0.106902692162161	0.800416327464855	0.950353674371078	0.113539352885347	0.252808333732873	0.259046933479748	0.795599028391679	0.916022031275974
GABRG3-AS1	0.939707078874979	0.147787991743345	0.521561989825014	0.469215675789298	0.30494287383125	0.723160699272701	1.44738904677285	1.02589119418621	1.74887323015685	0.0803129348669923	0.366751821144921
GABRP	1.97060532268705	0.0448223277510212	0.387713033968575	-0.178128023623362	0.680647214696031	0.912284746760574	2.00631802831206	-0.411580107226098	1.12764999821522	0.259467762345959	0.574506549102186
GABRQ	-0.5606027621115	0.533992904913876	0.802510211054865	0.172516245059793	0.706877367398593	0.922344609370913	-0.621922385196443	0.376053171063281	-0.173855788598567	0.861978798980956	0.947670700060754
GABRR1	0.970729530482945	0.356102963169734	0.689864677139768	0.803821584339422	0.155714903002684	0.582657841746484	0.922816264979368	1.4196317982867	1.65636091011273	0.0976487522661024	0.390595009064409
GABRR2	1.98005746453703	0.00923861825090691	0.309493159242798	0.265397480865547	0.52433634254099	0.848620043687292	2.60309562100865	0.636675335460321	2.29086401281043	0.0219712799362711	0.242795025948058
GABRR3	1.62167185060887	0.0699002807535906	0.418681714576292	-0.391474352166513	0.41914228415306	0.794318632433619	1.8125563149282	-0.807910191129805	0.710392086830623	0.477461028917308	0.744268012695026
GAD1	-0.527944996548401	0.552237797045025	0.812533029961799	0.0988729418231424	0.844055370182238	0.963653128983985	-0.594410186392544	0.196708867799681	-0.281217299263845	0.778543736948492	0.907322534238466
GAD2	0.759574308453186	0.245181700112864	0.609247839039653	0.0491068433858118	0.91924719265113	0.981034375342788	1.16213237113523	0.101382040456599	0.89343960856351	0.37162179941942	0.669783586554726
GADD45A	-0.207627700141214	0.69346986320935	0.882869858546693	-0.500223071470367	0.336627369989233	0.747039033859364	-0.394150588926545	-0.960850445653145	-0.958130420066087	0.337996997707993	0.642151065625381
GADD45B	1.06073193484256	0.0686320448461067	0.418438008960516	-0.00693927102237249	0.988367155896499	0.997366236709948	1.82083432502468	-0.0145801245295216	1.27721459371681	0.20152649610755	0.518040174666577
GADD45G	1.20960749107985	0.116084807177792	0.479689856464457	0.0475924858651821	0.87207824029622	0.969775512690077	1.57142136221091	0.161019248565046	1.22502050388264	0.220567495227356	0.536858805096921
GADD45GIP1	-0.167543674939805	0.78015783028084	0.918639040536893	-0.0783894471456292	0.663474919060072	0.906988076393813	-0.279113360429043	-0.435120562056753	-0.505039649943173	0.61353098757392	0.827484410330176
GADL1	1.64520282870438	0.174674478133639	0.544489003384061	-0.587525164001367	0.100740739920528	0.504634398503477	1.35733598564342	-1.64127308796736	-0.200773850483716	0.840875410858762	0.938336823579031
GAFA1	1.46530863776502	0.162061498399317	0.536381317431671	-0.251224476009248	0.614689613681002	0.888973754572104	1.39817174829519	-0.503390693186142	0.632705751744863	0.526925813116559	0.777293775721668
GAFA2	-0.505797664469453	0.452321330174164	0.753495323275264	0.23997061759599	0.355535787744559	0.760671012544841	-0.751550650485241	0.923904984387103	0.121872918268897	0.902999663809865	0.964933647139636
GAFA3	2.18255357659406	0.0131181248204048	0.316780447760569	-0.484173702775634	0.299490857404948	0.720699978076334	2.48054623945538	-1.03752584460365	1.02036950659015	0.307553250131673	0.615757907936678
GAGE1	1.08035182950146	0.166375406465233	0.538489724775094	-0.623587157638508	0.227694195813975	0.664012290783472	1.38394464036479	-1.20631982659689	0.125599710322281	0.90004879226967	0.963524381478761
GAGE3	1.8755110618834	0.0521831219855116	0.400421971377478	0.480123722233411	0.204731799308863	0.638237955957471	1.94161998254988	1.26818526082139	2.26967505387596	0.023227306071326	0.245212525162359
GAK	-0.325870271422353	0.660782153869304	0.868548148323414	0.126500766250906	0.316413647416199	0.732836419608785	-0.438833542496308	1.00185496208539	0.398116263744715	0.690544486436787	0.867629633898368
GAL	1.84038340163717	0.00599703532733492	0.283438111854063	0.143488658015711	0.753157044617884	0.937715015259146	2.74794343981424	0.314479288363296	2.16545987795414	0.0303524848007048	0.264539947519598
GAL3ST1	1.29283356171682	0.109285585333235	0.471377226808903	0.138732830209072	0.593126134193379	0.879126309021429	1.60141250285701	0.534311359653835	1.51018482592334	0.130996269485257	0.438820621813049
GAL3ST2	1.18700088278635	0.114478219024215	0.477787248522568	-0.0504765910469103	0.881204504283217	0.97108839088771	1.57838051415072	-0.149442466793153	1.010411783182	0.312298044841619	0.620862868366904
GAL3ST3	0.305648198728092	0.660664145713187	0.868548148323414	-0.149857489009235	0.673506778884978	0.910013346059211	0.438996398805119	-0.421340063762167	0.012484914239773	0.990038738467901	0.99703852809581
GAL3ST4	0.761524577413666	0.228730135133881	0.593745472187823	0.335704240722266	0.0749342512349605	0.461984631259675	1.20363642315895	1.78086656883367	2.11036230410952	0.0348271607962619	0.278885497080887
GALC	-0.765125580785007	0.313635430443858	0.660442178234203	0.0718638073617775	0.573295554986773	0.870440403130582	-1.00762310945719	0.563204623390654	-0.314251325182309	0.753330163753274	0.896232659525961
GALE	-0.144321635538638	0.857574605304694	0.947667537965634	-0.128400371953284	0.543542477788455	0.856715883590171	-0.179462442215392	-0.607464827320884	-0.556441608589715	0.577909001273642	0.807210365769282
