probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	contrast
A_33_P3218316	-0.0199888023333337	7.06454003583333	-0.131163180177079	0.89708810238994	0.978403105822946	-5.80397842909099	VSTM2B	D15_100nM_24h
A_33_P3218450	-0.234131617333333	4.77760828158333	-0.864830079296634	0.398410430622436	0.80299579072695	-5.4601318591481	CDC6	D15_100nM_24h
A_33_P3218584	-0.146646565666671	10.0984286655417	-1.57840032143633	0.131730673705009	0.613399869940373	-4.69517757228171	POP5	D15_100nM_24h
A_33_P3218625	0.118175219999999	12.3016308879167	1.21138605651413	0.241272890341867	0.701858901410789	-5.13543506310018	C9ORF7	D15_100nM_24h
A_33_P3218649	-0.121880859999999	11.002063215	-1.18705773911042	0.250498545030044	0.70868034971475	-5.1612780585059	GPM6B	D15_100nM_24h
A_33_P3218659	-0.485561185333333	5.630084293125	-1.768820739982	0.0937135853195307	0.580549107656918	-4.4330494177486	OR4N2	D15_100nM_24h
A_33_P3218694	-0.0150471783333348	6.8873601745	-0.10878494865055	0.914565852417153	0.982388341022889	-5.80656049205121	PNN	D15_100nM_24h
A_33_P3218772	-0.0683345376666669	7.66402936433333	-0.703302120870621	0.490785151683369	0.842647805895377	-5.57765728541865	UPF2	D15_100nM_24h
A_33_P3218832	0.0395900293333327	9.44306290841667	0.402103209069668	0.692300456644436	0.921676350626303	-5.73481123581508	RIMS1	D15_100nM_24h
A_33_P3218905	-0.111662136000001	5.00905056041667	-0.718095384363921	0.481833781155776	0.839418880789328	-5.56783505992105	FAM13A-AS1	D15_100nM_24h
A_33_P3218960	-0.0741530466666678	11.49626976125	-0.586610950401344	0.564685271297914	0.876771441484322	-5.6483233215283	CACNA1H	D15_100nM_24h
A_33_P3219010	-0.134690958666665	9.898538039375	-1.4388406843342	0.167205696527422	0.64521337662121	-4.87327622893267	PPA2	D15_100nM_24h
A_33_P3219055	-0.0238293026666661	8.43679075029167	-0.238381791743328	0.814253661631232	0.957787672229537	-5.78495113232457	C15ORF61	D15_100nM_24h
A_33_P3219090	-0.140292223333333	10.528407735	-1.19925930035875	0.245838642757455	0.704383833279017	-5.14837184323473	INSIG1	D15_100nM_24h
A_33_P3219095	0.521668864666668	3.95347123570833	1.56157418578022	0.135642865902153	0.617903808806885	-4.7173038918833	LOC728606	D15_100nM_24h
A_33_P3219146	-0.148880989666666	4.921633811875	-0.822845017428305	0.42126827108013	0.814625840709063	-5.49283458750638	ODF3	D15_100nM_24h
A_33_P3219197	0.168053202333335	10.333356975125	1.54100247502259	0.140557598026053	0.625518001211843	-4.74411670170601	TBC1D10B	D15_100nM_24h
A_33_P3219256	-0.108154880999998	7.86977482695833	-1.15258827341162	0.264023507658377	0.718053563388483	-5.19713501985183	BMPR1A	D15_100nM_24h
A_33_P3219429	-0.0743325610000003	9.68939299516667	-0.775386234553792	0.448089702825204	0.827107638982556	-5.52799070364739	SMNDC1	D15_100nM_24h
A_33_P3219434	0.0199391766666661	4.7901786045	0.156617158792264	0.877274274233808	0.973318469591793	-5.80045735169055	MARC2	D15_100nM_24h
A_33_P3219469	-0.0295586186666696	8.05536636116667	-0.311525969713656	0.758948156873653	0.941332242729307	-5.76568147427117	SCAF11	D15_100nM_24h
A_33_P3219475	-0.220678559999998	12.6800691366667	-1.81177812999894	0.0865882093591228	0.571467135460483	-4.37108508800798	C9ORF30-TMEFF1	D15_100nM_24h
A_33_P3219514	-0.0353956523333339	3.74004149075	-0.112837240470055	0.911397352644882	0.981538218278053	-5.80612857957254	ADAMTS20	D15_100nM_24h
A_33_P3219527	-0.0183168756666667	4.46037691183333	-0.0922538316682428	0.92750627032185	0.985734196563609	-5.80815901435668	RTKN2	D15_100nM_24h
A_33_P3219537	0.0997902213333326	4.233481665625	0.326152253746462	0.748037003198804	0.938179254660794	-5.76121979421545	LINC00207	D15_100nM_24h
A_33_P3219596	0.0470562330000011	6.386917047625	0.449854317676351	0.658138029055644	0.909857746170529	-5.71544297197685	LOC254559	D15_100nM_24h
A_33_P3219641	-0.018253408333333	8.35562652595833	-0.293065933464251	0.772793659328904	0.944881114403341	-5.77102370712996	CEP78	D15_100nM_24h
A_33_P3219651	-0.529076758666668	5.396805292	-3.87747255572974	0.00108775406367587	0.228977615324878	-0.704853000678452	BMPER	D15_100nM_24h
A_33_P3219697	-0.170731003333335	11.6526635425	-0.633498278562462	0.53430477683416	0.862223913163596	-5.62139224935912	ANKRD45	D15_100nM_24h
A_33_P3219750	0.00126425300000399	8.14155462879167	0.0125402748571722	0.990131286462261	0.99809471399944	-5.81217837980886	TTPAL	D15_100nM_24h
A_33_P3219770	-0.452320962333333	6.17363593916667	-2.20094141297738	0.040907016428318	0.503313275622619	-3.76844410238429	CDC73	D15_100nM_24h
A_33_P3219785	-0.0479856926666642	9.71792944745833	-0.483586728573618	0.634457644848256	0.902116342423532	-5.70048424852783	ANKRD57	D15_100nM_24h
A_33_P3219811	-0.0436873833333333	9.426601483	-0.374237707414508	0.712560590688142	0.927691945228468	-5.74512962648514	PTGDS	D15_100nM_24h
A_33_P3219835	0.0180832343333339	3.903382019375	0.0787260026163142	0.938111402272527	0.988190662879405	-5.80927172672755	LINC00111	D15_100nM_24h
A_33_P3219840	-0.0555786033333332	5.06160126991667	-0.415088402496819	0.682939132315935	0.91950914395346	-5.72975474764821	ZNRD1-AS1	D15_100nM_24h
A_33_P3219870	0.104926758333335	8.47595549875	0.966516039278434	0.346479849535237	0.774443658638423	-5.37481806990083	PNPLA2	D15_100nM_24h
A_33_P3219939	-0.150441439666666	3.94002794354167	-0.873200765977444	0.393951701213259	0.800993815934271	-5.4534338181809	CUBN	D15_100nM_24h
A_33_P3219965	0.267448673666664	9.257277620375	2.30308692222098	0.0333031673355699	0.480321906807341	-3.59950242238117	TCIRG1	D15_100nM_24h
A_33_P3220020	-0.0266156403333326	3.76421590691667	-0.077504318212594	0.939069758026896	0.988190662879405	-5.8093635529711	LOC440518	D15_100nM_24h
A_33_P3220090	-0.145664295666666	4.95966356795833	-0.678545598488396	0.505979934528591	0.851184244435848	-5.59366321824846	ZNF391	D15_100nM_24h
A_33_P3220095	-0.0065978186666662	8.45133242154167	-0.0762744588029206	0.940034623372132	0.988328052337208	-5.80945454414642	ZNF341	D15_100nM_24h
A_33_P3220105	0.234791266	6.25330466275	2.63034153389086	0.0168935645226915	0.426370083273441	-3.0345227055996	LOC644246	D15_100nM_24h
A_33_P3220113	-0.0649456560000012	4.08281769783333	-0.295839361950736	0.770708372127474	0.944842098325663	-5.77024169465277	ZNF816-ZNF321P	D15_100nM_24h
A_33_P3220137	0.398332437666666	4.30697363154167	1.69306576687018	0.107523970951938	0.592975395461301	-4.53984531381467	LHFPL1	D15_100nM_24h
A_33_P3220152	-0.0122531656666673	10.3154423403333	-0.105475449603953	0.917154655401241	0.983728686139434	-5.80690153325471	SBNO2	D15_100nM_24h
A_33_P3220202	0.115054727999999	9.28780043833333	1.42672797548272	0.170622525406657	0.649360210934269	-4.88813788237906	PKN3	D15_100nM_24h
A_33_P3220207	0.0250945506666667	3.80089121804167	0.112060341571376	0.91200469568768	0.981689107502258	-5.80621260712051	ARMC3	D15_100nM_24h
