gene	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
CLK2	1	1	9	5	4
CLN3	1	1	9	5	4
CLN5	4	4	10	5	5
CLNS1A	1	1	9	5	4
CLPB	10	9	10	5	5
CLPP	10	7	10	5	5
CLPTM1	8	6	10	5	5
CLPTM1L	5	3	10	5	5
CLPX	13	10	10	5	5
CLSTN1	3	3	10	5	5
CLSTN3	7	6	10	5	5
CLTA	12	8	10	5	5
CLTB	8	5	10	5	5
CLTC	93	54	10	5	5
CLTCL1	2	1	9	5	4
CLU	2	2	10	5	5
CLUH	5	5	9	5	4
CLVS1	4	4	9	5	4
CMAS	14	11	10	5	5
CMC1	1	1	10	5	5
CMIP	3	3	9	5	4
CMPK1	13	9	10	5	5
CMSS1	3	2	10	5	5
CMTR1	9	9	10	5	5
CNDP2	18	12	10	5	5
CNIH2	1	1	9	5	4
CNIH4	1	1	9	5	4
CNN3	11	7	10	5	5
CNNM2	2	2	10	5	5
CNOT1	29	27	10	5	5
CNOT10	2	2	10	5	5
CNOT11	1	1	9	5	4
CNOT3	2	2	10	5	5
CNOT7	1	1	9	5	4
CNOT9	4	3	10	5	5
CNP	14	11	10	5	5
CNPY2	11	7	10	5	5
CNPY3	1	1	9	5	4
CNR1	1	1	9	5	4
CNRIP1	3	2	10	5	5
CNTFR	6	4	10	5	5
CNTN1	32	28	10	5	5
CNTNAP1	6	6	10	5	5
CNTNAP2	13	10	10	5	5
CNTNAP5	6	6	10	5	5
COA1	5	4	10	5	5
COA3	5	3	10	5	5
COA7	3	3	10	5	5
COASY	3	3	10	5	5
COCH	1	1	10	5	5
COIL	1	1	10	5	5
COL1A1	3	3	10	5	5
COL1A2	1	1	10	5	5
COL2A1	1	1	9	5	4
COL4A3BP	1	1	8	4	4
COL6A1	13	9	10	5	5
COLGALT1	15	14	10	5	5
COMMD1	3	2	10	5	5
COMMD10	1	1	10	5	5
COMMD2	2	2	10	5	5
COMMD3	3	3	10	5	5
COMMD8	1	1	8	4	4
COMMD9	4	3	10	5	5
COPA	48	31	10	5	5
COPB1	17	13	10	5	5
COPB2	20	16	10	5	5
COPE	9	7	10	5	5
COPG1	9	9	10	5	5
COPG2	12	12	10	5	5
COPS2	25	15	10	5	5
COPS3	7	7	10	5	5
COPS4	15	12	10	5	5
COPS5	8	7	10	5	5
COPS6	5	4	10	5	5
COPS7A	1	1	9	5	4
COPS7B	6	4	10	5	5
COPS8	3	3	10	5	5
COPZ1	6	5	10	5	5
COQ5	10	7	9	5	4
COQ6	4	4	10	5	5
COQ7	4	3	10	5	5
