pathway	gene
R-HSA-397014	ATP2B1
R-HSA-397014	CACNA2D2
R-HSA-397014	CACNB1
R-HSA-397014	CAMK2B
R-HSA-397014	CAMK2D
R-HSA-397014	CAMK2G
R-HSA-397014	FGF12
R-HSA-397014	FKBP1B
R-HSA-397014	FXYD6
R-HSA-397014	HIPK2
R-HSA-397014	MYL12B
R-HSA-397014	MYL6
R-HSA-397014	PAK1
R-HSA-397014	PAK2
R-HSA-397014	PRKACA
R-HSA-397014	PXN
R-HSA-397014	SCN3B
R-HSA-397014	SLC8A1
R-HSA-397014	SLC8A2
R-HSA-397014	SORBS1
R-HSA-397014	SRI
R-HSA-397014	STIM1
R-HSA-397014	TMOD2
R-HSA-397014	TPM1
R-HSA-397014	TPM3
R-HSA-397014	TPM4
R-HSA-397014	VCL
R-HSA-397014	VIM
