gene	pooled_abundance	backbones	abundance_rank	backbone_rank
RPS14	19.1564560854	8	0.921384570255	0.702552068055
RPS15	18.4718693585	4	0.83308888237	0.408917571135
RPS15A	19.9065999657	6	0.967732472866	0.580228806101
RPS16	19.3982154764	12	0.939571721913	0.838222352596
RPS17	18.1891805225	5	0.780874156644	0.505426811382
RPS18	20.4328201423	12	0.984159577589	0.838222352596
RPS19	19.6186509735	9	0.95218539161	0.747433264887
RPS2	19.6643568937	11	0.954532120857	0.812848342622
RPS20	22.7959843347	4	0.997359929598	0.408917571135
RPS21	18.4743509463	5	0.834262246993	0.505426811382
RPS23	19.8845408437	4	0.966852449399	0.408917571135
RPS24	19.35643652	6	0.935171604576	0.580228806101
RPS25	19.8770057602	5	0.966265767087	0.505426811382
RPS26	16.9704028217	3	0.401877383397	0.294074508654
RPS27	21.9759261516	2	0.995599882664	0.168817835142
RPS27A	24.8838496365	6	0.999413317688	0.580228806101
RPS27L	19.565115151	3	0.949838662364	0.294074508654
RPS28	17.369019142	3	0.530067468466	0.294074508654
RPS3	19.0496216809	15	0.911704312115	0.894103842769
RPS3A	18.5034488325	16	0.839542387797	0.905690818422
RPS4X	18.6122331152	10	0.860662951012	0.783660897624
RPS4Y1	20.0783923168	10	0.974772660604	0.783660897624
RPS5	17.4504229755	7	0.561454972133	0.646377236726
RPS6	18.0459832391	8	0.743913171018	0.702552068055
RPS7	18.2065754975	12	0.784980932825	0.838222352596
RPS8	20.094566184	8	0.975359342916	0.702552068055
RPS9	19.4020771576	12	0.94045174538	0.838222352596
RPSA	19.6668376263	7	0.954825462012	0.646377236726
RPTOR	15.8015176752	4	0.1246699912	0.408917571135
RRAGA	17.6369922812	3	0.626283367556	0.294074508654
RRAGC	15.9764704089	6	0.156350836022	0.580228806101
RRAS2	16.8681609391	5	0.366676444705	0.505426811382
RRM1	16.933889415	6	0.388383690232	0.580228806101
RRP12	15.9727418843	7	0.154297447932	0.646377236726
RRP9	14.8818832093	4	0.04224112643	0.408917571135
RSF1	15.9947220519	4	0.159870929891	0.408917571135
RSL1D1	18.5101178683	6	0.84071575242	0.580228806101
RSPRY1	13.866334333	1	0.0134936931652	0.0513347022587
RTCA	15.8837440466	5	0.13640363743	0.505426811382
RTCB	17.7204325384	20	0.655910824289	0.944998533294
