beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	excluded_gene
0.01096109463740147	0.17281043352025513	0.06342843087721736	10	0.5246623446287113	0.9506753107425773	-0.37408454631767013	0.39600673559247307	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD13
0.003455257978476123	0.17291436159451437	0.01998248119250344	10	0.5077747818148304	0.9844504363703392	-0.38182194915666456	0.3887324651136168	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD14
0.010340925459981776	0.17412841149630376	0.059386778820992595	10	0.5230929627475256	0.9538140745049488	-0.377641353429586	0.39832320434954954	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD2
0.010097434624877888	0.17968679993207662	0.056194637717933746	10	0.52185315354082	0.9562936929183601	-0.3902697054928666	0.4104645747426224	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD3
0.005235808214821169	0.1763657560985213	0.02968721553801151	10	0.5115496783157187	0.9769006433685626	-0.38773158510822925	0.3982032015378716	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD4
0.0013571080245848854	0.17567552128696898	0.007725083236656666	10	0.5030058617678081	0.9939882764643837	-0.3900723462978524	0.3927865623470222	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD5
-0.004142304262158003	0.17587670313963596	-0.023552319256685477	10	0.49083652700846	0.98167305401692	-0.3960200196868372	0.3877354111625212	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD6
0.009654732474724703	0.17349091308598708	0.05564978766317023	10	0.5216415121013531	0.9567169757972936	-0.37690711143873695	0.39621657638818636	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD7
0.002523241175865998	0.16958150314749798	0.014879224025224864	10	0.5057893958333799	0.9884212083332402	-0.37532789456530685	0.38037437691703885	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD8
0.00866864344347773	0.17112173446793588	0.05065775817683771	10	0.5197020894246499	0.9605958211507002	-0.3726143415438089	0.38995162843076436	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSME1
-0.00028497975014918353	0.1788575441204953	-0.0015933336865969396	10	0.4993800207926469	0.9987600415852937	-0.3988044227758739	0.39823446327557555	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSME3
-0.000673549814226515	0.1777364397597587	-0.003789598886626362	10	0.49852543918365827	0.9970508783673165	-0.3966950166566628	0.39534791702820976	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSME4
-5.204512736778355e-05	0.16854316478717074	-0.0003087940554190018	10	0.49987984564621807	0.9997596912924361	-0.3755896188263878	0.37548552857165224	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMF1
