gene	eligible_probe_n	eligible_probes
2610201A13RIK	4	1420267_at;1420268_x_at;1420269_at;1439516_at
2610202C22RIK	1	1457593_at
2610203C22RIK	1	1453958_at
2610206C17RIK	1	1453431_at
2610300M13RIK	1	1430923_at
2610301B20RIK	2	1429451_at;1443280_at
2610301H18RIK	1	1432599_at
2610303G11RIK	1	1431674_at
2610306M01RIK	1	1452988_at
2610307P16RIK	1	1430083_at
2610311E24RIK	2	1433221_at;1433222_at
2610312I10RIK	1	1430876_at
2610316D01RIK	2	1457643_x_at;1458702_at
2610317O13RIK	1	1430011_at
2610318N02RIK	1	1429268_at
2610319H10RIK	1	1438429_at
2610507B11RIK	2	1426820_at;1455905_at
2610507I01RIK	2	1431141_at;1453749_at
2610524H06RIK	1	1429244_at
2610528A11RIK	1	1435639_at
2610528J11RIK	1	1450947_at
2700005E23RIK	1	1444776_at
2700008E08RIK	3	1433212_at;1433213_at;1433214_x_at
2700022O18RIK	1	1453603_at
2700029L08RIK	1	1430823_at
2700038G22RIK	1	1453745_at
2700046A07RIK	2	1430118_at;1453645_at
2700046G09RIK	1	1431163_at
2700049A03RIK	2	1429595_at;1437248_at
2700057C20RIK	2	1433312_at;1454556_at
2700060E02RIK	3	1435413_x_at;1437450_x_at;1448238_at
2700068H02RIK	1	1431906_at
2700078F05RIK	2	1433077_at;1454464_at
2700079J08RIK	1	1436362_x_at
2700080J24RIK	2	1432837_at;1454377_at
2700081O15RIK	1	1437291_at
2700089I24RIK	1	1431912_at
2700094K13RIK	1	1436349_at
2700097O09RIK	1	1428810_at
2700099C18RIK	2	1427141_at;1445682_at
2810001A02RIK	2	1436322_a_at;1436323_at
2810001G20RIK	1	1455170_at
2810002D19RIK	2	1441471_at;1452312_at
2810004I08RIK	1	1453534_at
2810004N23RIK	2	1434870_at;1448947_at
2810006K23RIK	1	1458837_at
2810013P06RIK	2	1429766_at;1429767_at
2810019C22RIK	1	1430689_at
2810021J22RIK	1	1453747_at
2810025M15RIK	1	1428452_at
2810029C07RIK	1	1428686_at
2810030D12RIK	1	1444603_at
2810032G03RIK	1	1453262_at
2810037O22RIK	1	1428866_at
2810038L03RIK	1	1453672_at
2810039B14RIK	2	1453248_at;1458183_at
2810040C05RIK	1	1430749_at
2810043O03RIK	1	1430195_at
2810047C21RIK1	1	1453242_x_at
2810047J09RIK	2	1432700_at;1460525_at
2810049E08RIK	1	1431614_at
2810403A07RIK	3	1426365_at;1430955_at;1440854_at
2810403D21RIK	4	1432658_at;1444678_at;1444703_at;1454318_at
2810403G07RIK	2	1432701_at;1432702_at
2810404F17RIK	1	1431720_at
2810404I24RIK	2	1432923_at;1432924_at
