gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
UQCC2	4	5	5	-0.343037282567	0.788379800241	0.164282429921	7.34252943264	-0.727859863606	0.0417852984727	0.0733294913453	0.185338850003
UQCR10	3	5	5	-0.829682417082	0.562653086496	0.361195196264	5.38777013033	-1.73842031577	0.0790554816058	0.0662671335111	0.174332778427
UQCRB	7	5	5	-0.473809534126	0.720060716034	0.34404303586	6.07263476041	-1.31321770993	0.365598641679	0.217066552857	0.362641106444
UQCRC1	13	5	5	-0.191031031798	0.875979472893	0.159522762087	5.55102149875	-0.589151412812	0.207089349216	0.279726895732	0.428793479562
UQCRC2	17	5	5	-0.795593409327	0.576106160672	0.355997049158	5.50120153755	-1.68619545946	0.0950086408067	0.0708375778239	0.18176511817
UQCRFS1	10	5	5	-0.237058106275	0.84847372772	0.184063305612	7.87755322521	-0.662659990901	0.188543778351	0.23431717691	0.380953683855
UQCRQ	6	5	5	-0.903363471538	0.534638830456	0.467541150239	4.45680111407	-2.15064037491	0.343913431839	0.118188890137	0.247618475747
URB1	3	5	4	0.170461012774	1.12541805424	0.128376177049	6.2150877747	-0.141047730714	0.481969756261	0.230920611693	0.377660436585
UROD	2	5	4	0.278787581965	1.21317492291	0.139465115213	3.44772847505	-0.134162132223	0.691737296153	0.127484009464	0.258545748861
USF1	2	5	5	0.693513138584	1.61721684793	0.393892621472	4.45458693497	-0.357469338767	1.74449561594	0.14574165959	0.280321138842
USMG5	3	5	5	-0.778840935656	0.582834855983	0.235187013605	7.08366980872	-1.33364100467	-0.224040866639	0.0126940050963	0.072499148461
USO1	10	5	5	0.120417543603	1.08704942995	0.458102261356	4.67723381421	-1.08203875569	1.3228738429	0.803839341101	0.874748252037
USP10	2	5	5	0.424520422334	1.34212628181	0.315617372191	7.99834445686	-0.303320766099	1.15236161077	0.215499683447	0.361480046938
USP11	9	5	5	0.341096683065	1.26671914081	0.150994445136	7.53007152753	-0.0109159916267	0.693109357758	0.0558141498525	0.155886476218
USP14	11	5	5	0.458896215134	1.37448981371	0.127390563321	7.31728259029	0.160293102431	0.757499327836	0.00808358205512	0.0565690989272
USP15	10	5	5	0.0437679585798	1.03080251236	0.0919131028719	4.54422214643	-0.19981094493	0.28734686209	0.655944733211	0.768088723645
USP19	4	5	5	-0.219511864935	0.858855980726	0.264818124786	6.06238143285	-0.865885624114	0.426861894245	0.438562919222	0.578481385599
USP24	11	5	5	0.349563471883	1.27417503136	0.624922686163	4.02617373644	-1.38106070382	2.08018764759	0.605563639176	0.725160921989
USP27X	2	5	4	-0.12635838383	0.9161410353	0.247880961276	5.87920369234	-0.735934975516	0.483218207857	0.628786646542	0.745657573813
USP32	2	5	5	-0.745321356917	0.596534979956	0.208650701937	7.74947602633	-1.22919170767	-0.261451006169	0.00766216021238	0.0545715581649
USP39	12	5	5	-0.12094629271	0.919584278931	0.184576711244	4.19736336425	-0.624048637276	0.382156051857	0.546480508471	0.674716694734
USP47	9	5	5	0.240654288466	1.18152838457	0.202194557329	4.11588927649	-0.314548608223	0.795857185155	0.298053074264	0.445695074311
USP48	3	5	5	-0.143706709172	0.905190463707	0.316264553808	5.65941915541	-0.929008602305	0.641595183961	0.666453541605	0.776542280626
USP5	27	5	5	0.171118579041	1.12593112568	0.145250462689	5.69903689295	-0.188896188445	0.531133346526	0.285600058553	0.433852341199
USP7	28	5	5	0.110951404595	1.07994018277	0.144974247746	7.94110066043	-0.223791909107	0.445694718297	0.466216420106	0.601410689834
USP8	2	5	4	-0.0304543857036	0.979111871695	0.205242570916	6.99392229335	-0.515861454458	0.45495268305	0.886228531668	0.925785923909
USP9X	25	5	5	-0.11831573284	0.921262546446	0.105680489182	5.32004886932	-0.385133355334	0.148501889654	0.310884378577	0.455269472515
