gene	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
MRPL28	5	5	-0.656058658782	0.634609639785	0.257093739952	7.47065142002	-1.25631021356	-0.0558071040009	0.0360112092829	0.122810749667	10	7	10	5	5
MRPL3	5	5	-0.930350143692	0.524730973565	0.210211893348	6.1485537903	-1.4417226066	-0.418977680782	0.00418923177806	0.0428439015892	6	6	10	5	5
MRPL30	5	5	-2.56521499784	0.168963672416	1.29148173449	6.66682352976	-5.65029653561	0.519866539923	0.0894210037404	0.207605840388	3	1	10	5	5
MRPL33	5	5	-0.0252879390764	0.982624462696	0.379120167384	4.61033126494	-1.02515146841	0.974575590259	0.949613946326	0.970482218369	2	1	10	5	5
MRPL34	5	5	-0.772256573455	0.585500954006	0.332795781	5.71044888714	-1.5966929704	0.0521798234875	0.0615759657429	0.16672820016	3	2	10	5	5
MRPL35	5	5	-0.899061221032	0.536235552671	0.201340854452	7.86254271157	-1.36477074269	-0.433351699377	0.00218811949415	0.0350367120273	1	1	10	5	5
MRPL37	5	5	-0.627430043403	0.647328512799	0.178707215514	4.64452058105	-1.09759101438	-0.15726907243	0.0192905418919	0.0879874969405	12	11	10	5	5
MRPL38	5	5	-0.453242434136	0.730399440784	0.172730436441	5.37949430369	-0.888002270833	-0.0184825974399	0.0436650768182	0.137359247927	10	8	10	5	5
MRPL39	5	5	-0.0250761708626	0.982768709328	0.171371125693	7.89593762445	-0.421167090852	0.371014749127	0.887330265774	0.927661698388	13	10	10	5	5
MRPL4	5	5	-0.784677123761	0.580481854933	0.377493491091	4.12471951677	-1.82038623382	0.251031986301	0.104079152444	0.227780485373	11	8	10	5	5
MRPL40	5	5	0.429692160078	1.34694613702	0.657034355832	4.20014277873	-1.36075163299	2.22013595314	0.54720446048	0.675569916647	3	2	10	5	5
MRPL41	5	5	-0.198400972659	0.871515982762	0.269455026427	7.77017090099	-0.822979066076	0.426177120757	0.483178906141	0.619914688738	2	1	10	5	5
MRPL42	5	5	0.140374391488	1.10219110662	0.496902722123	6.6089155637	-1.04885690218	1.32960568515	0.786202373642	0.856570990718	2	1	10	5	5
MRPL43	5	5	-0.850069033786	0.554758189901	0.498719802487	4.11115631378	-2.22009651545	0.519958447875	0.161552698544	0.298950192354	5	5	10	5	5
MRPL44	5	5	-0.52452270066	0.695189067321	0.205498588094	5.30081435411	-1.04388315501	-0.00516224631135	0.0484428316921	0.145161243226	11	8	10	5	5
MRPL45	5	5	0.0177183275515	1.01235713498	0.344304613338	4.70441771871	-0.884335286543	0.919771941646	0.961070936809	0.978643565676	7	6	10	5	5
MRPL46	5	5	-0.109857779068	0.926679409479	0.252889245916	5.29671411765	-0.749128357967	0.529412799832	0.681121226746	0.783810677003	8	7	10	5	5
MRPL47	5	5	-0.0899199578942	0.939574876284	0.252001591477	4.42132604809	-0.764061911605	0.584221995816	0.737611764702	0.824584990498	9	8	10	5	5
MRPL48	5	5	-0.191600390053	0.875633836617	0.386342191455	4.43802899872	-1.22376788788	0.840567107773	0.643507938332	0.753599249693	5	4	10	5	5
MRPL49	5	5	-0.562504466603	0.677125677075	0.161326371638	7.99293845147	-0.934580963758	-0.190427969448	0.00824901366517	0.0583360719156	7	6	10	5	5
MRPL50	5	5	0.212241672964	1.15848685379	0.335084687528	6.14018514859	-0.60316467942	1.02764802535	0.549325335084	0.676035459509	9	6	10	5	5
MRPL51	5	5	-0.657219566785	0.634099187433	0.26446870152	7.23073953114	-1.27856586144	-0.0358732721332	0.0408468705191	0.13161445208	5	2	10	5	5
MRPL52	5	5	0.221952569686	1.1663110253	0.284838508505	7.54687226267	-0.44181462534	0.885719764713	0.459582493708	0.597285113546	4	2	10	5	5
MRPL53	5	5	-1.19085496497	0.438043192073	0.440386243653	7.99987866471	-2.20639014498	-0.175319784966	0.0269024544099	0.104833721162	5	3	10	5	5
MRPL54	5	5	-0.00731229871279	0.994944323932	0.410560539397	6.82657246631	-0.983155888883	0.968531291458	0.986299342786	0.992912252913	2	2	10	5	5
MRPL55	5	5	-0.529460567512	0.692813732918	0.149935198813	7.30272277664	-0.881043289951	-0.177877845073	0.00894268711076	0.0601526255037	4	4	10	5	5
MRPL57	5	5	-0.421148348756	0.746829929937	0.212499736324	7.87236102801	-0.912560013324	0.0702633158115	0.0833899053126	0.199234922758	3	2	10	5	5
MRPL58	5	4	-0.663666210943	0.631272053384	0.170698526543	4.81544982443	-1.10756736891	-0.219765052974	0.012421337864	0.0705700945898	9	7	9	5	4
MRPL9	5	5	-0.66724411845	0.629708427985	0.391882364998	4.47204095645	-1.71145348428	0.376965247377	0.156243324729	0.293061803681	9	6	10	5	5
MRPS10	5	5	-0.300068659213	0.812213741421	0.30466363797	4.86604168837	-1.08976083084	0.489623512413	0.371068975908	0.518204620026	7	5	10	5	5
