gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
ST7	4	5	5	0.119920881723	1.08667526696	0.195836342289	7.95358493765	-0.332137674686	0.571979438132	0.557401363973	0.690811198382
STAG2	2	5	5	0.709823484669	1.63560398692	0.189767262068	7.90876093948	0.271339092516	1.14830787682	0.00582004883866	0.0552940343977
STAU1	3	5	5	1.51115739703	2.8503861865	0.257086094198	7.51200037218	0.911544785107	2.11077000896	0.000470787710474	0.0267501523223
STAU2	2	5	5	0.878975071532	1.83906831459	0.358855664562	7.47130841835	0.04114795579	1.71680218727	0.0420309272432	0.131312944614
STIM1	2	5	5	-0.916290119714	0.529869826461	0.349561145651	4.18117302227	-1.87046504014	0.0378848007112	0.0561522066744	0.155558714683
STIP1	21	5	5	0.566233264957	1.48065268086	0.292322844447	4.19006234733	-0.231070021346	1.36353655126	0.12157642431	0.251089247179
STK24	2	5	5	-0.574913751849	0.671326383869	0.1279241233	6.11989326116	-0.886452317585	-0.263375186113	0.00393301079483	0.0483415185676
STMN1	9	5	5	1.04413144028	2.06212450395	0.468756932372	5.59081755943	-0.123535190583	2.21179807113	0.0707526505326	0.180370480065
STOML2	6	5	5	0.123597967295	1.08944847566	0.275612635683	5.07684109484	-0.581673644534	0.828869579124	0.672322540023	0.774599862988
STRAP	13	5	5	0.555635606362	1.46981604568	0.28049800606	4.33320676104	-0.200093087255	1.31136429998	0.113231964763	0.240219027287
STRBP	6	5	5	0.843429112561	1.79430993621	0.233211771191	7.98113604263	0.305420471995	1.38143775313	0.0068434281262	0.0577515322616
STRN4	2	5	5	-0.145635091381	0.903981346703	0.413168685162	4.79716947321	-1.22136898038	0.930098797617	0.739430441877	0.819379012497
STS	2	5	5	-0.860843772804	0.55063042273	0.221638318652	7.97937989888	-1.37217264084	-0.349514904764	0.00467163105578	0.0508318733799
STT3A	5	5	5	-1.28559426788	0.410201801282	0.457302714808	4.28646034149	-2.52249647329	-0.0486920624654	0.0445931480662	0.134829421369
STUB1	2	5	5	0.887698521889	1.85022217715	0.45225176711	5.16506221848	-0.263765515145	2.03916255892	0.105064161379	0.230507602302
STX12	5	5	5	0.830406088373	1.77818581388	0.118314833151	6.53380282019	0.546537975899	1.11427420085	0.00028537137264	0.0267501523223
STX1B	2	5	5	-0.472950838955	0.720489425283	0.450018098372	5.7321808202	-1.58669769793	0.640796020015	0.335550751846	0.489643911284
STX7	3	5	5	0.589837353587	1.50507705862	0.169396947255	7.86879010446	0.198070595102	0.981604112071	0.00851252983986	0.0630668214718
STX8	2	5	5	0.457355183176	1.37302241983	0.232107779844	5.7874172704	-0.115687579766	1.03039794612	0.0980523799927	0.221352994337
STXBP1	14	5	5	-0.245541633944	0.843499060104	0.0938624295062	7.84833670723	-0.462719002263	-0.0283642656242	0.0313457318524	0.111993015767
SUB1	4	5	5	-0.0653228125077	0.955731442468	0.0998547539244	6.82762205731	-0.302655645773	0.172010020758	0.534402379976	0.67454843597
SUCLA2	10	5	5	-0.0231976016791	0.984049230486	0.291470966727	4.67090507047	-0.788607308045	0.742212104687	0.939861034701	0.960541497543
SUCLG1	7	5	5	-0.403226697863	0.756165169304	0.232960411397	5.01144630875	-1.00165933677	0.195205941038	0.143893959114	0.280715382257
SUGP2	4	5	5	-0.0633839870326	0.957016705179	0.241787727987	4.60836948354	-0.701147114739	0.574379140674	0.80451769072	0.867186767809
SUGT1	5	5	5	0.430049261203	1.3472795793	0.137411554228	6.7120442898	0.102275248994	0.757823273412	0.0175476572407	0.0852369316967
SULF2	5	5	5	-0.468986902034	0.722471758122	0.108506154589	6.66514212786	-0.728199583847	-0.20977422022	0.00389204974473	0.0483415185676
SUMF2	5	5	5	-0.267968966388	0.830487888408	0.120981730469	5.12541248658	-0.576687481585	0.0407495488077	0.0763016391586	0.188698294172
SUMO1	4	5	5	1.25034861273	2.3789890193	0.244293666597	7.99256229321	0.686915144314	1.81378208114	0.000911810975771	0.0337370061035
SUMO2	2	5	5	0.537045038686	1.450997505	0.480064340295	4.86299078628	-0.707530683958	1.78162076133	0.31546397144	0.471360608935
SUN2	5	5	5	0.556981693033	1.47118807721	0.130434586553	7.86093618279	0.255270284687	0.858693101379	0.00283524216997	0.0444037879337
SUPT16H	19	5	5	0.174054571711	1.12822481314	0.120325398453	4.38498378213	-0.148766809769	0.49687595319	0.215518327285	0.365844874389
SUPT5H	4	5	5	0.369766370322	1.29214356428	0.18037972385	5.76021015814	-0.0760992597842	0.815632000427	0.0882072379754	0.209809855137
SUPT6H	3	5	5	0.897889785865	1.86333850414	0.305944192659	5.39471411014	0.128431494959	1.66734807677	0.0296231247515	0.109594920027
SUPV3L1	2	5	5	-0.110088977901	0.926530916537	0.156120453561	7.0060077742	-0.479191024534	0.259013068732	0.503476869454	0.649196695817
SV2A	3	5	5	-1.54908690187	0.341726278214	0.456436604876	4.03560956881	-2.81196020183	-0.286213601911	0.0270568867545	0.104181766157
SYMPK	2	5	5	2.34719392261	5.0883359394	0.327634491204	7.25548755168	1.57795758663	3.11643025859	0.000154281378318	0.0224530832579
SYN1	4	5	5	-0.92235130461	0.527648357739	0.499230681336	4.34418141948	-2.26618407162	0.421481462399	0.13269210019	0.266237917937
SYNCRIP	10	5	5	1.23973560728	2.36155249785	0.204261982325	7.04922009795	0.757415595065	1.7220556195	0.000492623834766	0.0267501523223
SYNE1	4	5	5	-0.206678806827	0.866529754035	0.289012638643	5.17293318769	-0.942200991233	0.52884337758	0.505505742788	0.650845270211
SYNE2	2	5	5	0.225353484879	1.169063654	0.0916933212933	7.01674811312	0.00863810080779	0.442068868951	0.0435328546918	0.133659946262
SYNJ1	4	5	5	-0.0228729436944	0.984270701678	0.277792444171	4.24845074765	-0.77668166331	0.730935775921	0.938112576851	0.960541497543
SYNJ2BP	2	5	5	0.902815903964	1.86971179449	0.433028750266	4.54752544293	-0.244472283254	2.05010409118	0.0970507369327	0.220001826297
SYT1	14	5	5	-1.4404770936	0.36844544071	0.279622463936	7.02646342107	-2.10117466889	-0.779779518307	0.0013065258561	0.0375301045884
