pseudo	source	weighted	cells	original	retention	effect
8	mouse6	0.922305728512	27	27	1	0.0341594714264
8	mouse60	-0.159693807257	61	61	1	-0.00261793126651
8	mouse61	-0.459207744821	20	21	0.952380952381	-0.022960387241
8	mouse62	0.350292135417	66	67	0.985074626866	0.00530745659723
8	mouse63	-0.243273037183	69	69	1	-0.00352569619106
8	mouse67	-0.00371084087695	59	59	1	-6.28956080838e-05
8	mouse68	-1.0679667488	74	74	1	-0.0144319830919
8	mouse69	-0.816007013893	36	36	1	-0.022666861497
8	mouse7	-0.542413803137	43	43	1	-0.0126142744916
8	mouse70	0.100760936294	51	52	0.980769230769	0.00197570463321
8	mouse71	-0.833903437554	24	24	1	-0.0347459765648
8	mouse72	-0.754620267463	92	92	1	-0.00820239421155
8	mouse73	0.782819401916	48	49	0.979591836735	0.0163087375399
8	mouse74	-0.0835124397674	38	38	1	-0.00219769578335
8	mouse76	-0.988897581136	71	71	1	-0.0139281349456
8	mouse8	0.519728733901	38	38	1	0.0136770719448
8	mouse9	0.0939783965762	56	56	1	0.00167818565315
9	mouse10	0.672644714343	42	42	1	0.0160153503415
9	mouse11	0.3564649557	75	75	1	0.004752866076
9	mouse12	0.0913343599285	54	54	1	0.00169137703571
9	mouse13	0.288223502439	68	69	0.985507246377	0.00423858091822
9	mouse14	-0.0914922451729	33	34	0.970588235294	-0.00277249227797
9	mouse15	0.660361568894	38	38	1	0.0173779360235
9	mouse16	-0.694248406725	27	28	0.964285714286	-0.0257129039528
9	mouse17	-0.254341381332	36	36	1	-0.00706503837034
9	mouse18	-0.336928653217	78	79	0.987341772152	-0.00431959811817
9	mouse19	-1.11652817778	46	46	1	-0.0242723516909
9	mouse20	0.135864027713	86	86	1	0.00157981427573
9	mouse21	-0.413828946982	58	58	1	-0.00713498184452
9	mouse22	0.269764889496	56	56	1	0.00481723016957
9	mouse23	-1.18752050811	93	94	0.989361702128	-0.0127690377216
9	mouse24	-0.262161759126	27	27	1	-0.00970969478246
9	mouse25	1.08171623175	35	35	1	0.03090617805
9	mouse26	-0.196275350681	37	37	1	-0.00530473920761
9	mouse29	0.445435809149	29	29	1	0.0153598554879
9	mouse33	0.0597766742414	20	20	1	0.00298883371207
9	mouse34	0.345779069322	64	64	1	0.00540279795816
9	mouse35	-0.182532778024	57	58	0.98275862069	-0.00320232943901
9	mouse36	0.958528853793	33	34	0.970588235294	0.0290463289028
9	mouse37	0.736267283018	25	25	1	0.0294506913207
9	mouse38	-0.110128944669	55	55	1	-0.00200234444854
9	mouse4	0.0738050761468	56	56	1	0.00131794778834
9	mouse41	0.615333937215	32	32	1	0.019229185538
9	mouse44	0.804936828949	38	38	1	0.0211825481302
9	mouse45	0.300035589235	44	44	1	0.00681899066443
9	mouse46	0.473764582261	20	20	1	0.023688229113
9	mouse52	0.268025143437	67	68	0.985294117647	0.00400037527517
9	mouse54	0.771190303814	56	57	0.982456140351	0.0137712554253
9	mouse55	0.922286032911	61	62	0.983870967742	0.0151194431625
9	mouse56	-0.148178088741	32	32	1	-0.00463056527316
9	mouse57	0.221618865113	36	36	1	0.00615607958646
9	mouse58	0.872917570926	20	22	0.909090909091	0.0436458785463
9	mouse6	-0.292252602994	41	41	1	-0.00712811226814
9	mouse60	-1.06342656605	89	89	1	-0.0119486131017
9	mouse61	0.520799925144	35	36	0.972222222222	0.0148799978613
9	mouse62	-0.874516309363	110	110	1	-0.00795014826693
9	mouse63	-0.321808066614	92	92	1	-0.00349791376754
9	mouse64	-0.374429028194	27	28	0.964285714286	-0.013867741785
9	mouse66	0.335716895843	25	25	1	0.0134286758337
9	mouse67	0.400821554549	93	95	0.978947368421	0.0043099091887
9	mouse68	1.01648391779	115	115	1	0.00883899058946
9	mouse69	-0.41730638762	60	60	1	-0.00695510646033
9	mouse7	0.472547730936	47	47	1	0.0100542070412
9	mouse70	0.96552217135	73	73	1	0.0132263311144
